002.023.007.000

*****此文件为版本管理信息，用于版本信息维护和版本自动统计，第一行格式内容不要更改，切记切记！！！！*****
*****版本号格式A.B.C.D ABCD为10进制数，其中A表示FPGA版本号，B.C.D表示驱动、DLL、测试软件版本号***** 
*****升级级别划分为新建、建议、必须*****
通用LVDS历史记录
序号  日期时间   作者   向上兼容 升级级别      版本号         事件
 01   2018.07.26 wangyl   是      新建    001.001.001.001     通用LVDS创建版本信息:该版本针对通用LVDS协议
 02   2018.09.30 wangyl   是      建议    001.001.001.001     通用LVDS增加64位版本:驱动、DLL和测试软件
 03   2018.10.17 wangyl   是      建议    002.002.002.002     通用LVDS修改以解决剩余不足4字节情况(通过FPGA填充驱动去掉填充方法)，增加Example
 04   2018.10.17 wangyl   是      建议    002.002.002.003     通用LVDS修改测试软件将日志是否显示通过配置文件配置
 05   2018.11.23 wangyl   是      建议    002.003.003.004     通用LVDS增加查询总线信息，增加IsOpen，增加板卡选择
 06   2018.12.05 wangyl   是      建议    002.003.005.006     通用LVDS修改DLL导出函数名去掉下划线
 07   2019.03.08 wangyl   是      建议    002.003.005.007     通用LVDS增加文件发送功能和依赖库
 08   2019.08.02 wangyl   是      建议    002.004.006.008     解决通用LVDS驱动、动态库和测试软件在多块板卡时因静态变量可能存在的数据错乱问题
 09   2019.10.09 wangyl   是      建议    002.005.006.008     通用LVDS驱动修改使用DMA的条件:在长度大于等于2K时就使用
 10   2019.11.11 wangyl   是      建议    002.005.007.008     通用LVDS动态库支持板卡数量上限由16修改为32
 11   2020.04.15 wangyl   是      建议    002.006.008.009     通用LVDS协议修改支持32个接收通道和发送,时钟可查,接收波特率可设,帧可设,动态库相应修改,测试软件增加帧发送/文件发送/帧判断.
 12   2020.05.25 wangyl   是      建议    002.007.009.010     通用LVDS协议升级V2.2支持RAM发送方式,驱动、动态库和测试软件进行相应修改.
 13   2020.05.30 wangyl   是      建议    002.008.009.010     通用LVDS协议驱动升级DMA方式时也进行填充判断.
 14   2020.06.03 wangyl   是      建议    002.008.010.010     通用LVDS动态库LVDS_GetCount增加超时时间参数.
 15   2020.07.07 wangyl   是      建议    002.008.011.010     通用LVDS动态库修改在使用LVDS_Send单次发送超出FIFO数据量时出现错误情况.
 16   2020.07.09 wangyl   是      建议    002.008.012.010     通用LVDS修改库函数LVDS_RstRAMFrmHadTCnt返回值类型，完善Example，增加用户手册。
 17   2020.11.02 wangyl   是      建议    002.008.012.011     通用LVDS板卡测试软件升级为V2.2,增加写寄存器文件方式。
 18   2020.12.21 wangyl   是      建议    002.009.013.012     通用LVDS升级为V3.0,增加DMA发送。
 19   2021.01.07 wangyl   是      建议    002.010.014.013     通用LVDS升级为V3.1,增加查询VendorID和DevID功能,增加函数LVDS_GetDrvVer,增加LVDS_CheckVer校验驱动版本,修改统计板卡数机制,实现互斥打开板卡。
 20   2021.03.05 wangyl   是      建议    002.011.015.014     通用LVDS升级为V3.2,增加状态统计函数(接收FIFO满次数,驱动缓存覆盖次数,中断计数),增加接收通道数据量统计,RAM设置数据增加RAM地址参数,增加版本匹配函数.
 21   2021.06.19 wangyl   是      建议    002.012.016.015     通用LVDS驱动升级为V3.3(增加总线映射表查询和驱动各通道数据接收总量统计),动态库升级为V3.3(增加总线映射表查询、板卡号定义、驱动接收量查询),测试软件升级为V3.3(增加总线映射表查询,增加自测试).
 22   2021.09.28 wangyl   是      建议    002.013.017.016     通用LVDS驱动升级为V3.4,动态库升级为V3.4,测试软件升级为V3.4:修改状态量统计,增加各层收发数据量统计.
 23   2021.10.12 wangyl   是      建议    002.013.018.017     通用LVDS动态库升级为V3.5:修改版本判断、增加RAM帧长设置,测试软件升级为V3.5:增加通道配置时钟模式和修改RAM帧长设置.
 24   2021.10.12 wangyl   是      建议    002.013.019.017     通用LVDS动态库升级为V3.6:设置和获取RAM帧间隔增加是否使用时钟单位选项，修改是否支持RAM判断.
 25   2022.04.12 wangyl   是      建议    002.014.020.018     通用LVDS驱动升级为V3.5,动态库升级为V3.7,测试软件升级为V3.5:使用内存映射提升读写性能,适配软核,查询接收优化,状态统计更新到驱动,增加BAR读写接口,增加串口接口类型配置,修改支持并行发送,增加误码率统计.
 26   2022.07.08 wangyl   是      建议    002.014.019.018     通用LVDS动态库升级为V4.0:实现协议V3.0,增加2线制和2线制配置,增加秒脉冲、应答、连续发送.
 27   2022.09.02 wangyl   是      建议    002.014.020.019     通用LVDS测试软件和动态库升级为V4.1:修改应答协议,增加比特模式和字节间隔,修改应答函数.
 28   2022.10.10 wangyl   是      建议    002.014.021.020     通用LVDS测试软件和动态库升级为V4.2:修正比特模式设置地址错误,修正2线制帧头帧尾字节数设置,32位库导出函数名称去掉下划线,修正PPS显示.
 29   2022.10.31 wangyl   是      建议    002.014.022.021     通用LVDS测试软件升级为V4.3:增加单通道多组帧接收配置,动态库升级为V4.3:字节顺序配置不再判版本,增加中断触发字节设置函数,增加单通道多组帧接收配置.
 30   2022.11.28 wangyl   是      建议    002.014.022.022     通用LVDS测试软件升级为V4.4:修改速率计算为定时方式,修改帧数据判断设置;
 31   2022.12.07 wangyl   是      建议    002.015.023.023     通用LVDS驱动升级V3.6:增加SN和GA,动态库升级为V4.5:增加SN和GA及映射,增加调试开关接口函数,增加通道接收超时查询,测试软件升级为V4.5:增加SN和GA及映射,增加调试开关,通道超时时间查询;
 32   2023.02.16 wangyl   是      建议    002.016.024.024     通用LVDS驱动升级V3.7:适配软核BAR空间,增加BAR索引查询,动态库升级为V4.6:适配BAR索引,异步串口数据位支持16位,解决双FIFO打印信息异常问题,双FIFO发送支持非DMA方式，测试软件升级为V4.6:异步串口数据位支持16位,测速修改;
 33   2023.04.06 wangyl   是      建议    002.023.004.000     通用LVDS升级V23.4.0:统一版本格式，修改BAR空间访问方式适配Win10;
 34   2023.05.05 wangyl   是      建议    002.023.005.000     通用LVDS升级V23.5.0:修改PPS时间相关参数为double类型以适配ns情况;
 35   2023.05.29 wangyl   是      建议    002.023.005.001     通用LVDS升级V23.5.1:1)测试软件增加应答配置2)动态库增加LVDS_AbortSend和LVDS_SetRAMFrmDataEx;
 36   2023.06.16 wangyl   是      建议    002.023.006.000     通用LVDS升级V23.6.0:1)测试软件增加点击配置参数自动保存文件2)动态库修改PPS状态统计与之前函数不兼容;
 37   2023.07.07 wangyl   是      建议    002.023.007.000     通用LVDS升级V23.7.0:1)动态库和测试软件增加监视功能,增加信号时钟频率配置和查询;2)测试软件修改波特率复制,信号配置多通道;
