002.008.012.010

*****此文件为版本管理信息，用于版本信息维护和版本自动统计，第一行格式内容不要更改，切记切记！！！！*****
*****版本号格式A.B.C.D ABCD为10进制数，其中A表示FPGA版本号，B表示驱动版本号，C表示DLL版本号，D表示应用软件版本号***** 
*****升级级别划分为新建、建议、必须*****
通用LVDS历史记录
序号  日期时间   作者   向上兼容 升级级别      版本号         事件
 01   2018.07.26 wangyl   是      新建    001.001.001.001     通用LVDS创建版本信息:该版本针对通用LVDS协议
 02   2018.09.30 wangyl   是      建议    001.001.001.001     通用LVDS增加64位版本:驱动、DLL和测试软件
 03   2018.10.17 wangyl   是      建议    002.002.002.002     通用LVDS修改以解决剩余不足4字节情况(通过FPGA填充驱动去掉填充方法)，增加Example
 04   2018.10.17 wangyl   是      建议    002.002.002.003     通用LVDS修改测试软件将日志是否显示通过配置文件配置
 05   2018.11.23 wangyl   是      建议    002.003.003.004     通用LVDS增加查询总线信息，增加IsOpen，增加板卡选择
 06   2018.12.05 wangyl   是      建议    002.003.005.006     通用LVDS修改DLL导出函数名去掉下划线
 07   2019.03.08 wangyl   是      建议    002.003.005.007     通用LVDS增加文件发送功能和依赖库
 08   2019.08.02 wangyl   是      建议    002.004.006.008     解决通用LVDS驱动、动态库和测试软件在多块板卡时因静态变量可能存在的数据错乱问题
 09   2019.10.09 wangyl   是      建议    002.005.006.008     通用LVDS驱动修改使用DMA的条件:在长度大于等于2K时就使用
 10   2019.11.11 wangyl   是      建议    002.005.007.008     通用LVDS动态库支持板卡数量上限由16修改为32
 11   2020.04.15 wangyl   是      建议    002.006.008.009     通用LVDS协议修改支持32个接收通道和发送,时钟可查,接收波特率可设,帧可设,动态库相应修改,测试软件增加帧发送/文件发送/帧判断.
 12   2020.05.25 wangyl   是      建议    002.007.009.010     通用LVDS协议升级V2.2支持RAM发送方式,驱动、动态库和测试软件进行相应修改.
 13   2020.05.30 wangyl   是      建议    002.008.009.010     通用LVDS协议驱动升级DMA方式时也进行填充判断.
 14   2020.06.03 wangyl   是      建议    002.008.010.010     通用LVDS动态库LVDS_GetCount增加超时时间参数.
 15   2020.07.07 wangyl   是      建议    002.008.011.010     通用LVDS动态库修改在使用LVDS_Send单次发送超出FIFO数据量时出现错误情况.
 16   2020.07.09 wangyl   是      建议    002.008.012.010     通用LVDS修改库函数LVDS_RstRAMFrmHadTCnt返回值类型，完善Example，增加用户手册。
